,logFC,AveExpr,t,P.Value,adj.P.Val,B
DAB2,-0.458454951502803,13.0306394567863,-6.93772396099304,1.10231264538852e-10,1.61499825675872e-06,13.8275804411191
EFNB1,0.439153111918751,9.01591889349674,6.80460550874308,2.24294969393008e-10,1.64307279828848e-06,13.1650042927799
FAM184A,0.576683921325383,9.0343435184351,6.56969312217411,7.72664070289223e-10,3.77343376460247e-06,12.011787155086
ERO1L,0.478375734112996,9.36697971861043,6.40406460485435,1.82344718649293e-09,6.67883118232699e-06,11.2116399643922
B3GNT2,-0.400932867621902,8.207542865645,-6.35420213419873,2.35598808633343e-09,6.90351629057422e-06,10.9729425635098
SLC6A8,0.405836099784224,8.92758587520977,6.09961370246386,8.56999519107221e-09,2.09264999240665e-05,9.77066225946257
FSTL3,1.06586264190532,11.1513008800807,6.05877852120593,1.05136498756261e-08,2.20050691896855e-05,9.5804621384882
HTRA4,0.860646540664373,10.1532107748803,5.93209712079268,1.97245448542838e-08,3.61230383325139e-05,8.99523098651035
LEP,1.59731103006787,10.103409263701,5.85690673166995,2.85516901290036e-08,4.64789791200035e-05,8.65139166357083
SEMA4C,0.520742735637974,8.47808829242753,5.76651076788526,4.4377719504269e-08,6.25955088108752e-05,8.24157311236719
CAP2,-0.376486592592041,10.3575266461644,-5.74635830741363,4.8935825799297e-08,6.25955088108752e-05,8.15074716989798
OLFML3,-0.433411738710253,9.00747735592567,-5.73450899216794,5.18266384550886e-08,6.25955088108752e-05,8.09743534087623
SMAD4,-0.330267473023621,10.8388342752165,-5.71795826809248,5.61459256820752e-08,6.25955088108752e-05,8.02308607230995
MIIP,0.417655103783314,7.97518959664655,5.70485307157762,5.98141507987341e-08,6.25955088108752e-05,7.96431014160439
HEXB,0.398841345776724,12.5839079234466,5.58994527402765,1.03798619475396e-07,8.70965576222961e-05,7.45260567447736
LRIG3,-0.547053494760395,8.24481980575005,-5.58804591955992,1.04742756191411e-07,8.70965576222961e-05,7.44420312481237
CEBPA,0.452043308856291,10.3708925157129,5.58450458030697,1.06525561930964e-07,8.70965576222961e-05,7.42854147743344
VWA5A,-0.399174493515414,9.29020847684891,-5.58027773908478,1.08692319242285e-07,8.70965576222961e-05,7.40985649697005
