"Name","K","Kin","Kout","TypeI","TypeII"
"CMTM3",3,0,3,1,0
"CNGB1",1,0,1,1,0
"CNNM3",2,0,2,1,0
"CNOT2",1,0,1,2,0
"CNOT4",1,0,1,1,0
"CNOT7",3,0,3,2,0
"CNR1",1,0,1,1,0
"CNTFR",1,0,1,2,0
"CNTNAP1",1,0,1,1,0
"CNTROB",2,0,2,2,0
"COL13A1",1,0,1,2,0
"COL17A1",4,0,4,2,0
"COL4A4",2,0,2,1,0
"COL4A6",2,0,2,1,0
"COL8A1",1,0,1,1,0
"COLQ",1,0,1,2,0
"COMT",2,0,2,2,0
"COPG2",1,0,1,1,0
"COPS7B",1,0,1,1,0
"CPNE6",3,0,3,2,0
"CPSF1",5,0,5,1,0
"CREB3L3",2,0,2,2,0
"CRHR2",1,0,1,2,0
"CSF1",2,0,2,2,0
"CSF1R",7,0,7,2,0
"CSF2RA",2,0,2,1,0
"CSF3R",5,0,5,2,0
"CSTA",2,0,2,1,0
"CTNNBIP1",1,0,1,1,0
"CTNND2",3,0,3,2,0
"CTR9",1,0,1,1,0
"CTSK",3,0,3,2,0
"CTSS",2,0,2,2,0
"CUX1",2,0,2,1,0
"CXCL10",3,0,3,2,0
"CXCL11",1,0,1,1,0
"CXCL9",1,0,1,1,0
"CXCR3",1,0,1,2,0
"CXCR5",1,0,1,1,0
"CYTH3",1,0,1,2,0
"DALRD3",1,0,1,1,0
"DAP3",1,0,1,1,0
"DAPK1",2,0,2,1,0
"DARC",2,0,2,2,0
"DARS",1,0,1,2,0
"DBF4",3,0,3,2,0
"DDR2",2,0,2,2,0
"DEK",1,0,1,1,0
"DES",1,0,1,1,0
"DGCR2",1,0,1,1,0
"DHRS1",1,0,1,1,0
"DIAPH2",1,0,1,1,0
"DIS3L2",1,0,1,1,0
"DLK1",1,0,1,1,0
"DLX5",1,0,1,2,0
"DMAP1",1,0,1,1,0
"DNAJC1",1,0,1,1,0
"DNAJC13",1,0,1,1,0
"DNAJC3",3,0,3,2,0
"DNMT1",5,0,5,1,0
"DNMT3L",2,0,2,1,0
"DNPEP",2,0,2,1,0
"DOCK7",2,0,2,1,0
"DOK4",2,0,2,1,0
"DOM3Z",2,0,2,2,0
"DPYSL4",2,0,2,2,0
"DRD1",2,0,2,2,0
"DRD3",5,0,5,2,0
"DRD4",3,0,3,2,0
"DRD5",2,0,2,2,0
"DSN1",2,0,2,1,0
"DST",3,0,3,2,0
"DTNBP1",1,0,1,1,0
"DTX2",1,0,1,1,0
"DTX3L",1,0,1,1,0
"DUSP16",2,0,2,1,0
"DUSP4",2,0,2,1,0
"DYNC1I2",1,0,1,1,0
"DYNLT3",2,0,2,2,0
"E4F1",2,0,2,1,0
"EAPP",1,0,1,1,0
"ECT2",3,0,3,2,0
"EDA2R",1,0,1,1,0
"EDAR",2,0,2,1,0
"EDN3",1,0,1,1,0
"EDNRB",4,0,4,1,0
"EEF1B2",1,0,1,2,0
"EID2",3,0,3,1,0
"EIF2AK1",1,0,1,1,0
"EIF2B2",2,0,2,1,0
"EIF3D",1,0,1,1,0
"ELAC2",1,0,1,1,0
"ELMO1",1,0,1,2,0
"EMCN",1,0,1,1,0
"ENAH",6,0,6,2,0
"ENO2",5,0,5,2,0
"EPB41L1",1,0,1,1,0
"EPB49",5,0,5,2,0
"EPHA1",1,0,1,1,0
"EPHA2",4,0,4,2,0
"EPHA3",4,0,4,2,0
"EPHA4",5,0,5,2,0
"EPHA5",1,0,1,1,0
"EPHA7",1,0,1,2,0
"EPHA8",3,0,3,1,0
"EPHB1",2,0,2,2,0
"EPHB3",1,0,1,2,0
"EPHB4",1,0,1,2,0
"EPHB6",3,0,3,1,0
"ERBB3",11,0,11,2,0
"EXOC5",1,0,1,1,0
"EXOSC10",5,0,5,2,0
"EXPH5",1,0,1,1,0
"F11R",3,0,3,2,0
"F2RL1",3,0,3,2,0
"F3",2,0,2,1,0
"F8",1,0,1,1,0
"F8A1",1,0,1,1,0
"FAM124B",3,0,3,1,0
"FAM160A2",1,0,1,1,0
"FAM50B",1,0,1,2,0
"FAP",1,0,1,2,0
"FATE1",1,0,1,1,0
"FBL",1,0,1,1,0
"FBLN5",1,0,1,1,0
"FBXW11",3,0,3,1,0
"FBXW5",1,0,1,1,0
"FCGR3A",6,0,6,2,0
"FFAR1",1,0,1,1,0
"FFAR2",1,0,1,1,0
"FGF17",1,0,1,1,0
"FGF2",9,0,9,2,0
"FGF5",1,0,1,1,0
"FGFR2",4,0,4,2,0
"FGFR4",7,0,7,2,0
"FHIT",1,0,1,1,0
"FIZ1",1,0,1,1,0
"FNBP4",3,0,3,2,0
"FNTA",1,0,1,1,0
"FOXM1",1,0,1,1,0
"FOXP1",1,0,1,2,0
"FPR1",1,0,1,1,0
"FPR2",1,0,1,2,0
"FRAT1",1,0,1,1,0
"FSD1",1,0,1,2,0
"FTL",5,0,5,2,0
"FUBP1",1,0,1,1,0
"FXYD3",1,0,1,1,0
"FXYD6",1,0,1,1,0
"FZD1",3,0,3,2,0
"FZD3",1,0,1,2,0
"FZD5",2,0,2,2,0
"FZD6",1,0,1,2,0
"FZD7",3,0,3,2,0
"FZD8",3,0,3,2,0
"G3BP1",1,0,1,1,0
"GABBR1",2,0,2,2,0
"GABRB3",1,0,1,1,0
"GABRG2",1,0,1,2,0
"GABRR2",1,0,1,1,0
"GAD2",1,0,1,2,0
"GALR1",1,0,1,2,0
"GAST",2,0,2,2,0
"GATAD2A",1,0,1,2,0
"GBP2",5,0,5,2,0
"GCC1",1,0,1,1,0
"GCG",1,0,1,1,0
"GEMIN7",4,0,4,2,0
"GFER",1,0,1,1,0
"GFRA1",1,0,1,2,0
"GFRA2",2,0,2,2,0
"GGA1",4,0,4,2,0
"GHR",5,0,5,2,0
"GHRHR",2,0,2,2,0
"GIGYF1",1,0,1,1,0
"GKAP1",1,0,1,1,0
"GLB1",3,0,3,1,0
"GLRA2",1,0,1,2,0
"GLUL",2,0,2,1,0
"GMEB1",2,0,2,1,0
"GMEB2",2,0,2,1,0
"GMFB",3,0,3,1,0
"GNG4",1,0,1,1,0
"GNGT1",1,0,1,1,0
"GOLGA4",1,0,1,2,0
"GPBP1",1,0,1,1,0
"GPC1",4,0,4,2,0
"GPD1",1,0,1,2,0
"GPNMB",1,0,1,1,0
"GPR1",1,0,1,1,0
"GPR26",1,0,1,1,0
"GPR37",1,0,1,2,0
"GPSM3",1,0,1,1,0
"GRASP",2,0,2,2,0
"GRIK1",2,0,2,2,0
"GRIK3",1,0,1,1,0
"GRK4",1,0,1,1,0
"GRM3",3,0,3,2,0
"GRM4",2,0,2,1,0
"GSTM4",1,0,1,1,0
"GTF2I",2,0,2,2,0
"GUCA1B",1,0,1,2,0
"GZMA",1,0,1,1,0
"GZMB",5,0,5,2,0
"H3F3B",1,0,1,1,0
"HAAO",1,0,1,1,0
"HABP2",1,0,1,2,0
"HBEGF",2,0,2,2,0
"HBP1",4,0,4,1,0
"HCRTR2",1,0,1,2,0
"HDGFRP3",1,0,1,1,0
"HECW1",1,0,1,1,0
"HES1",7,0,7,2,0
"HEY2",2,0,2,1,0
"HGFAC",1,0,1,2,0
"HHIP",2,0,2,2,0
"HMG20B",2,0,2,1,0
"HMOX1",1,0,1,1,0
"HN1L",1,0,1,1,0
"HNRNPA0",1,0,1,1,0
"HNRNPA1",5,0,5,2,0
"HNRNPR",1,0,1,1,0
"HOXA11",1,0,1,1,0
"HOXB6",1,0,1,1,0
"HOXD4",1,0,1,1,0
"HPCAL4",1,0,1,1,0
"HR",2,0,2,1,0
"HRK",1,0,1,1,0
"HSBP1",1,0,1,1,0
"HSD17B10",1,0,1,1,0
"HSPA4",3,0,3,1,0
"HSPB2",2,0,2,2,0
"HSPB8",2,0,2,1,0
"HSPBAP1",1,0,1,1,0
"HTR1B",1,0,1,1,0
"HTR1F",1,0,1,1,0
"HTR3A",1,0,1,2,0
"HTR6",1,0,1,1,0
"HTRA1",6,0,6,2,0
"IFNAR2",3,0,3,2,0
"IFNG",1,0,1,2,0
"IFNGR1",4,0,4,2,0
"IGF2R",5,0,5,2,0
"IGFBP2",1,0,1,2,0
"IGFBP4",4,0,4,2,0
"IGFBP6",1,0,1,1,0
"IKBKE",2,0,2,2,0
"IKZF3",1,0,1,2,0
"IL10RA",2,0,2,2,0
"IL11RA",1,0,1,2,0
"IL13",2,0,2,2,0
"IL13RA1",1,0,1,1,0
"IL15RA",3,0,3,2,0
"IL18R1",2,0,2,2,0
"IL18RAP",2,0,2,2,0
"IL1R1",4,0,4,2,0
"IL1R2",3,0,3,2,0
"IL1RL1",1,0,1,2,0
"IL1RL2",1,0,1,2,0
"IL2RA",3,0,3,2,0
"IL3",3,0,3,2,0
"IL31RA",1,0,1,2,0
"IL3RA",1,0,1,1,0
"IL4R",8,0,8,2,0
"IL6R",2,0,2,1,0
"IL7R",4,0,4,2,0
"IL9R",1,0,1,2,0
"ING2",2,0,2,1,0
"INHBB",5,0,5,2,0
"INPP4A",1,0,1,2,0
"INSRR",2,0,2,2,0
"IQGAP2",1,0,1,2,0
"IRF7",2,0,2,2,0
"ITCH",1,0,1,1,0
"ITGA2",5,0,5,2,0
"ITGAL",5,0,5,2,0
"ITGAM",8,0,8,2,0
"ITGAX",3,0,3,2,0
"ITGB1BP1",4,0,4,2,0
"ITGB4",7,0,7,2,0
"ITGB6",2,0,2,1,0
"ITM2B",1,0,1,1,0
"ITM2C",1,0,1,2,0
"ITPR3",4,0,4,2,0
"ITSN2",3,0,3,2,0
"JAM2",1,0,1,1,0
"JAM3",1,0,1,1,0
"KAT5",16,0,16,2,0
"KCMF1",1,0,1,1,0
"KCNQ1",1,0,1,1,0
"KCNQ5",1,0,1,1,0
"KCTD17",1,0,1,1,0
"KHDRBS2",2,0,2,2,0
"KHSRP",2,0,2,2,0
"KIAA1191",1,0,1,1,0
"KIAA1715",1,0,1,1,0
"KIF11",1,0,1,1,0
"KIF15",2,0,2,2,0
"KIF1C",1,0,1,1,0
"KIF20B",1,0,1,1,0
"KIF23",2,0,2,1,0
"KITLG",1,0,1,2,0
"KLC2",1,0,1,1,0
"KLF5",3,0,3,1,0
"KLF6",1,0,1,1,0
"KLK1",1,0,1,2,0
"KREMEN1",1,0,1,1,0
"KRT17",2,0,2,2,0
"KRT20",1,0,1,1,0
"LBP",2,0,2,2,0
"LDLR",3,0,3,2,0
"LEPR",6,0,6,2,0
"LHCGR",4,0,4,2,0
"LHX3",2,0,2,2,0
"LILRB1",1,0,1,1,0
"LILRB2",1,0,1,2,0
"LIMK2",2,0,2,1,0
"LIMS1",2,0,2,2,0
"LIN7C",1,0,1,1,0
"LINGO1",2,0,2,2,0
"LMNB1",4,0,4,2,0
"LPA",1,0,1,1,0
"LPAR1",1,0,1,1,0
"LPAR2",1,0,1,1,0
"LPHN1",4,0,4,2,0
"LRP12",1,0,1,1,0
"LRP5",1,0,1,1,0
"LRP8",3,0,3,2,0
"LRRC41",1,0,1,2,0
"LRRC4C",1,0,1,2,0
"LRSAM1",3,0,3,2,0
"LTB4R",1,0,1,1,0
"LTBP4",1,0,1,1,0
"LTBR",2,0,2,2,0
"LYL1",1,0,1,1,0
"M6PR",1,0,1,2,0
"MAEA",1,0,1,1,0
"MAFA",2,0,2,2,0
"MAGEA1",1,0,1,1,0
"MAP1A",5,0,5,2,0
"MAP1LC3A",1,0,1,1,0
"MAP1S",1,0,1,1,0
"MAP2",3,0,3,2,0
"MAP3K10",5,0,5,2,0
"MAPK1IP1L",1,0,1,1,0
"MAPKBP1",1,0,1,1,0
"MAPRE2",1,0,1,1,0
"MATR3",3,0,3,2,0
"MBD3",1,0,1,2,0
"MC1R",1,0,1,2,0
"MC2R",1,0,1,2,0
"MC5R",1,0,1,2,0
"MCHR1",1,0,1,2,0
"MED13",1,0,1,1,0
"MED28",3,0,3,1,0
"MEF2A",2,0,2,2,0
"MERTK",1,0,1,1,0
"METTL1",1,0,1,1,0
"MGMT",1,0,1,1,0
"MID1IP1",2,0,2,2,0
"MIPEP",1,0,1,1,0
"MLLT3",1,0,1,1,0
"MME",5,0,5,2,0
"MMP13",1,0,1,1,0
"MMP25",1,0,1,2,0
"MMP9",13,0,13,2,0
"MMS19",1,0,1,1,0
"MPL",2,0,2,1,0
"MPP2",1,0,1,1,0
"MPZL1",1,0,1,1,0
"MRPL37",1,0,1,1,0
"MSX2",2,0,2,1,0
"MTA1",4,0,4,1,0
"MTF2",2,0,2,1,0
"MTMR9",2,0,2,2,0
"MTNR1A",1,0,1,1,0
"MUTYH",1,0,1,1,0
"MVP",1,0,1,2,0
"MYCN",1,0,1,1,0
"MYOD1",9,0,9,2,0
"MYOT",1,0,1,1,0
"MYOZ1",2,0,2,1,0
"NAGK",4,0,4,2,0
"NAGPA",2,0,2,1,0
"NAIP",1,0,1,2,0
"NAT14",1,0,1,1,0
"NCBP1",5,0,5,2,0
"NCDN",1,0,1,2,0
"NCOA5",1,0,1,1,0
"NCR3",1,0,1,2,0
"NCSTN",2,0,2,1,0
"NDRG1",1,0,1,2,0
"NDUFA6",1,0,1,1,0
"NDUFB9",1,0,1,2,0
"NEFM",1,0,1,1,0
"NES",1,0,1,1,0
