"Name","K","Kin","Kout","TypeI","TypeII"
"A2M",9,2,7,0,1
"HMOX2",8,4,4,0,1
"YWHAZ",56,18,38,0,1
"RB1",89,69,20,0,1
"RDX",10,5,5,0,1
"STX1A",20,13,7,0,1
"SOS1",26,11,15,0,1
"ABL1",30,13,17,0,1
"CDK5",13,10,3,0,1
"POLR2A",27,20,7,0,1
"YTHDC1",5,3,2,0,1
"VIM",50,30,20,0,1
"ATXN1",35,18,17,0,1
"CSNK2A1",55,36,19,0,1
"ACIN1",5,3,2,0,1
"CTNNB1",50,32,18,0,1
"LCK",36,17,19,0,1
"SPTAN1",16,7,9,0,1
"ACTB",52,32,20,0,1
"ANXA7",49,32,17,0,1
"BCL2L1",19,16,3,0,1
"CFL1",12,6,6,0,1
"H2AFX",9,5,4,0,1
"PFDN1",14,7,7,0,1
"RCC1",9,4,5,0,1
"TK1",44,30,14,0,1
"ACTC1",12,2,10,0,1
"ACTN4",11,7,4,0,1
"GAPDH",22,8,14,0,1
"VCL",30,16,14,0,1
"ACTG1",19,4,15,0,1
"GSN",11,8,3,0,1
"MAPK6",59,34,25,0,1
"ARHGDIA",15,13,2,0,1
"CTBP1",26,19,7,0,1
"ACTN1",21,14,7,0,1
"COIL",21,16,5,0,1
"PKN1",14,11,3,0,1
"ACTN2",11,3,8,0,1
"CAMK2A",14,9,5,0,1
"DISC1",6,3,3,0,1
"ITGB3BP",6,4,2,0,1
"SSX2IP",2,1,1,0,1
"ACVR1",33,14,19,0,1
"AP2B1",10,6,4,0,1
"IKBKB",20,15,5,0,1
"PAK1",29,23,6,0,1
"UBE2E3",5,4,1,0,1
"GRB2",63,29,34,0,1
"HCK",41,29,12,0,1
"MAD2L2",4,1,3,0,1
"FN1",26,15,11,0,1
"RAF1",22,10,12,0,1
"CALM1",42,21,21,0,1
"APPL1",4,1,3,0,1
"LSM1",11,2,9,0,1
"EPB41L2",8,3,5,0,1
"SLC9A3R2",10,6,4,0,1
"PRKCA",49,18,31,0,1
"GNAI2",28,18,10,0,1
"PRKCD",32,16,16,0,1
"EIF2B1",2,1,1,0,1
"GNAO1",7,2,5,0,1
"ARRB1",18,7,11,0,1
"ADRB2",11,3,8,0,1
"GRK6",11,5,6,0,1
"INSR",30,11,19,0,1
"SLC9A3R1",18,8,10,0,1
"ADRBK2",2,1,1,0,1
"CXCR4",11,4,7,0,1
"HMGB1",26,22,4,0,1
"PRKCB",25,11,14,0,1
"PRKCZ",28,11,17,0,1
"MLLT1",3,2,1,0,1
"UBE3A",23,21,2,0,1
"EPS15",13,10,3,0,1
"CTSG",5,3,2,0,1
"JAK2",35,9,26,0,1
"PLCG1",45,15,30,0,1
"CDKN2A",14,13,1,0,1
"NCOA2",14,6,8,0,1
"NCOR2",31,17,14,0,1
"LCP1",3,2,1,0,1
"AKAP10",6,3,3,0,1
"YWHAB",46,27,19,0,1
"YWHAG",107,78,29,0,1
"PRKAR2A",8,5,3,0,1
"AKAP8",5,3,2,0,1
"AKAP9",11,9,2,0,1
"AKT1",43,16,27,0,1
"CASP3",58,23,35,0,1
"CHUK",29,20,9,0,1
"EIF4EBP1",10,6,4,0,1
"GSK3B",41,18,23,0,1
"HTT",26,19,7,0,1
"MAP3K11",8,3,5,0,1
"PPP2CA",22,12,10,0,1
"HSP90AA1",30,13,17,0,1
"SLC2A4",13,12,1,0,1
"RAP1B",8,6,2,0,1
"DYNLL1",18,15,3,0,1
"PDPK1",20,15,5,0,1
"XRN1",14,8,6,0,1
"LMNA",10,7,3,0,1
"EGFR",59,28,31,0,1
"TGFBR1",45,16,29,0,1
"TEK",6,2,4,0,1
"CD44",22,9,13,0,1
"ANK2",3,1,2,0,1
"HDAC5",10,7,3,0,1
"LRP2",14,6,8,0,1
"COPS6",26,12,14,0,1
"XRCC6",19,8,11,0,1
"PLSCR1",26,10,16,0,1
"PCNA",26,22,4,0,1
"SRC",68,36,32,0,1
"APLP1",16,10,6,0,1
"CCDC90B",12,8,4,0,1
"CDK4",21,13,8,0,1
"RBBP4",18,10,8,0,1
"AP1M1",12,4,8,0,1
"AP2A1",13,6,7,0,1
"AP2M1",7,3,4,0,1
"CSNK1A1",11,5,6,0,1
"CLTC",15,8,7,0,1
"GRID2",3,1,2,0,1
"HSPA1A",22,16,6,0,1
"APP",39,15,24,0,1
"PSEN1",18,8,10,0,1
"STXBP1",4,3,1,0,1
