,logFC,AveExpr,t,P.Value,adj.P.Val,B
HTRA4,2.03818318845106,10.4748901646511,16.2229333566625,1.06955913653598e-38,1.56701109093887e-34,77.0134898877347
ENG,1.2021310758147,11.3080970623748,15.4289521881995,3.18889619650578e-36,2.33602590875031e-32,71.437081850513
INHA,1.26032998349246,9.19753627670103,15.1391954152335,2.56735680779092e-35,1.25381148636482e-31,69.3945527712624
TPBG,0.916018034248674,9.29068571196427,14.1412088146722,3.43159916019918e-32,1.18192681380222e-28,62.3420172184984
LEP,2.87510493097927,10.2585357721336,14.1188109146082,4.03360457921718e-32,1.18192681380222e-28,62.1835856575465
FSTL3,1.82937586666415,11.3257744169435,14.0197404120052,8.24471305722645e-32,2.01322151669041e-28,61.4828095834103
SASH1,1.09061585254535,10.2405999110553,13.9332437054786,1.53895775647696e-31,3.22103858430627e-28,60.870994017118
SLC6A8,0.842697903023103,9.07577990258531,13.8625365328569,2.56314794067703e-31,4.51776580626089e-28,60.3708938218327
HEXB,0.811197889027751,12.7167922651356,13.8515169369777,2.77522983116156e-31,4.51776580626089e-28,60.2929575573355
ERO1L,0.761817061491518,9.4185341247182,13.3148639242947,1.32852267177939e-29,1.86336547626297e-26,56.4998231388459
FLT1,1.18957639402042,11.3016506995746,13.3076839002764,1.39901851333648e-29,1.86336547626297e-26,56.4491198208241
FLNB,0.805320929266736,10.1819876415868,13.0493006929449,8.9804803785152e-29,1.09644181688022e-25,54.6256900685962
SPAG4,0.892149426635312,7.76932140882916,13.0183750248007,1.1216613805879e-28,1.26411237592257e-25,54.4076213911632
TREM1,1.58435052751921,8.78030098532792,12.865393165611,3.36688395292351e-28,3.52344405673445e-25,53.3295356991766
TMEM45A,1.26234251078755,8.88138716637957,12.7918527687307,5.70835076464839e-28,5.5755364701909e-25,52.8117024061948
PROCR,0.862336454721101,10.6706696814704,12.4419603055842,7.00464616099672e-27,6.41406693154769e-24,50.3523274899294
HK2,1.37040562547016,8.1443572931573,12.3317557045266,1.54015361431463e-26,1.32734062372492e-23,49.5794288874063
PVRL4,1.0411447037191,10.0165609688418,12.2915929284591,2.05193138631066e-26,1.67015815226875e-23,49.2979858038535
QPCT,0.928089756173717,7.70163339164358,12.0974035094742,8.19907448392764e-26,6.3223494875802e-23,47.9390670473964
PIK3CB,0.812211200224658,9.80032747120847,11.9028539798132,3.27313181671234e-25,2.39773271233262e-22,46.5810338805204
VWCE,0.900495298984872,7.81105674229346,11.5819474051732,3.18312446871938e-24,2.22075983767655e-21,44.3495076034185
BCL6,0.910294034853182,9.20605422038508,11.5741704538397,3.36302985251361e-24,2.23962501678077e-21,44.2955725924116
CST6,0.876293775388724,8.53719357602821,11.4096402000533,1.074269969989e-23,6.79094915676403e-21,43.1562553234376
SERPINA3,1.85832009039138,8.01109557702785,11.4046870691103,1.11243450796763e-23,6.79094915676403e-21,43.1220095252327
NDRG1,0.823435403150294,11.2733147401816,11.3766863487165,1.3550502145861e-23,7.94113627756039e-21,42.9284734609849
NEK11,0.788023248996396,7.66303288390414,11.2388505214159,3.57320057473962e-23,2.01349852386577e-20,41.9773043798475
TRIM24,0.593251552997081,9.10037667894552,11.1413141880518,7.08503394697487e-23,3.84454934656033e-20,41.3058284934921
TMEM136,-0.656504054628305,8.03702343039964,-11.1008062643268,9.41088744180787e-23,4.92424685392597e-20,41.0273621541234
HSD17B1,-0.640525268442357,11.942705105743,-11.0686251202087,1.1789633704903e-22,5.95620425553567e-20,40.8063108066684
BMP6,-0.625059479911522,8.83588949821162,-10.9738950478158,2.28663133981869e-22,1.11671452532279e-19,40.1565266344817
OCRL,0.523450022502448,9.53571513662367,10.8749942319902,4.55936217226924e-22,2.15481339309409e-19,39.4796364379134
ERGIC1,0.512415529946283,9.01410653709237,10.863532632672,4.93847406306791e-22,2.26104948431275e-19,39.4012938081893
F13A1,-0.667393130579526,12.0456867592962,-10.7471373635548,1.11000874422405e-21,4.92810245806867e-19,38.606943716285
CYP2J2,0.787608492439258,9.24158324140466,10.7109618898307,1.4270553603564e-21,6.14934943664165e-19,38.3605301078812
SFXN3,0.68008013539349,9.1637986491487,10.6954968154485,1.58875629848161e-21,6.65053386544403e-19,38.2552572805567
SH3BP5,0.906922668646152,8.92427009943508,10.6808354303481,1.75887259024819e-21,7.15812286659064e-19,38.1554939839336
GPT2,0.73259930845254,7.71614842965713,10.6108546871079,2.85673119549811e-21,1.13118834446602e-18,37.6798363296624
NTRK2,0.670511961476771,6.54970341850838,10.5628928359483,3.98114715624275e-21,1.53494176279244e-18,37.3543513548626
SOD1,-0.538544364158058,11.5382612294254,-10.4864208728667,6.75221804485541e-21,2.53658324551735e-18,36.8362677271838
TBC1D22A,0.369434365909896,9.29135343704002,10.4269826899244,1.01729574713564e-20,3.72609999782105e-18,36.4343494771603
WDR60,0.556872960699062,8.3791565791033,10.4157455136488,1.09917364549372e-20,3.92780319027524e-18,36.3584407456121
TKT,-0.44203235482736,10.3247144790218,-10.3547408891358,1.67259800003033e-20,5.83457935677246e-18,35.9467773245752
KL,-0.836015583114241,9.41145749238273,-10.3413655170415,1.83368249829974e-20,6.24774006571848e-18,35.8566178120196
GCLM,-0.57721821528197,8.1819325358189,-10.3290866430257,1.99512202808478e-20,6.64330291669776e-18,35.7738809633789
BHLHE40,1.11978275343255,10.0933897176264,10.3169198480019,2.16903911869558e-20,7.06190936177976e-18,35.691929183746
P4HA1,0.659082780366719,9.06923578297666,10.3084566478003,2.29883892932986e-20,7.32180198991561e-18,35.6349412764524
BIN2,0.833433483131955,8.31279905005793,10.299745297893,2.44052497419828e-20,7.60768753127213e-18,35.5762975590929
CSHL1,-0.422546286251222,13.6796575055933,-10.2904565023419,2.60119201031677e-20,7.9395966964898e-18,35.5137835155311
SH3PXD2A,0.635650291447066,9.73943041091774,10.271780449941,2.95679506435909e-20,8.84081724243368e-18,35.3881460031681
INHBA,1.04273311582721,11.1652478548418,10.1865424277283,5.30162222405261e-20,1.55348134409189e-17,34.8156476165176
PREP,0.546377773664814,8.77297899219178,10.1810816199355,5.50341918053685e-20,1.58099204733422e-17,34.7790220829275
TMEM139,-0.571185909685598,8.99209710965718,-10.1287612054913,7.86928787887679e-20,2.21717185987354e-17,34.428431511383
SLAMF1,-0.565686990347814,6.27983795508793,-10.1128329578358,8.77334057123465e-20,2.42524929639922e-17,34.3218154872373
DIO2,1.12188062096771,7.54980447183326,10.0957349910551,9.85908359459582e-20,2.67114024999573e-17,34.2074310676351
FBN2,-0.500455991336663,12.2055191232213,-10.0932522538534,1.00274871169043e-19,2.67114024999573e-17,34.1908269827126
FAM101B,-0.556419834065803,8.53295206805146,-10.0854076399877,1.05786294991806e-19,2.76763394272311e-17,34.1383724979015
PLA2G16,0.610727915274204,9.70616246060344,10.0776106335743,1.11562934604161e-19,2.86755886822029e-17,34.0862496760222
HILPDA,0.904683576961936,9.66633971471515,10.0695530182778,1.17862648970319e-19,2.977251155283e-17,34.0323986863922
BTD,0.585168509454315,8.37413851966347,10.0523719920093,1.32502379921942e-19,3.29032604785826e-17,33.9176214246829
COL17A1,1.12743363044942,8.96863946981858,10.0426343139903,1.41589154665798e-19,3.45737117501435e-17,33.8525981382386
EFNB1,0.560681619905218,9.04907871969445,10.0213357939921,1.63683277025556e-19,3.93135031426462e-17,33.7104507755687
PRKAB2,0.644385812978344,8.60897277308986,9.95146829178131,2.6319435165701e-19,6.21945233246266e-17,33.2448666979711
SMARCA1,0.431602243975162,9.2730478607941,9.91006439335152,3.48568856942854e-19,8.10616241757104e-17,32.9694836235808
GDPD3,0.671053023222616,8.66875843107499,9.8699683543514,4.57386648873861e-19,1.03248676647393e-16,32.7031777872095
ERRFI1,0.816564527516222,11.4547852744097,9.8657473668698,4.70647349866681e-19,1.03248676647393e-16,32.6751651257849
RFK,0.553406367239212,8.90263941460684,9.86489490844849,4.73371511426432e-19,1.03248676647393e-16,32.6695082777973
UBE2Q2,0.466177525819617,9.91919703183773,9.86348836695178,4.77900668302551e-19,1.03248676647393e-16,32.6601749510142
PAPPA2,0.888117226505704,11.9664404735577,9.86308413067069,4.79210293633385e-19,1.03248676647393e-16,32.6574926638242
HN1L,0.540477658267889,9.38880084821395,9.85596968734921,5.0285259629722e-19,1.0677236794711e-16,32.610291470142
APLN,-0.761028608806638,8.71304524383745,-9.8497856310622,5.24343625714103e-19,1.09745120861962e-16,32.5692726784834
HSD17B2,-0.546426135456812,11.5600449110855,-9.83514916768618,5.78919110959184e-19,1.19461181614972e-16,32.4722251752454
LAMA2,-0.53848692910111,9.85271096845611,-9.82412917394213,6.23706344497978e-19,1.2559171817177e-16,32.3991903250077
NEURL,0.721199052706215,8.49877179686976,9.82363994235095,6.25772672618881e-19,1.2559171817177e-16,32.3959486195776
KRT19,0.76337515794455,12.0072088012808,9.80538494207854,7.07941682340281e-19,1.40162886323885e-16,32.275029704993
EDEM2,0.596861054414004,9.67474457197849,9.78888862393694,7.91383236821608e-19,1.54594077368978e-16,32.165828769432
FAM43A,0.758734501826167,9.63132416136903,9.7852508804219,8.1106153570923e-19,1.56353454732578e-16,32.14175675264
GUCA2A,0.75453854923888,8.89278086328817,9.72536544596188,1.21466736080078e-18,2.3111807146873e-16,31.7459387893883
RDH13,0.802711556319528,9.86832655550116,9.71638811370032,1.29038505760468e-18,2.42377326653413e-16,31.6866779162486
GREM2,0.83592003346183,8.7241226461308,9.69972768717902,1.44355878825584e-18,2.67716200085269e-16,31.5767523453097
CCBL1,0.395225961434615,7.46710499258075,9.69384342971572,1.50187229298633e-18,2.75049137056784e-16,31.5379444070884
C12orf39,-1.09842063460297,6.97565602264141,-9.65774103377389,1.91457359890753e-18,3.46301454291287e-16,31.3000301462916
TPI1,0.516159130738393,9.24628586376844,9.64823516844415,2.04085025743777e-18,3.64640208801472e-16,31.237440915141
TMEM168,-0.58548490685207,9.26140305718144,-9.64362446885569,2.10504849963691e-18,3.7157910323109e-16,31.2070909931293
