"Name","K","Kin","Kout","TypeI","TypeII"
"A2M",13,3,10,0,1
"H2AFX",9,4,5,0,1
"SHBG",8,4,4,0,1
"TNFRSF14",13,6,7,0,1
"MAP1LC3B",21,17,4,0,1
"YWHAZ",39,13,26,0,1
"MDFI",26,19,7,0,1
"LDOC1",6,5,1,0,1
"ABCA1",5,2,3,0,1
"LIMK1",7,6,1,0,1
"STX1A",15,7,8,0,1
"ABCF3",4,3,1,0,1
"PCM1",6,3,3,0,1
"ABL1",25,13,12,0,1
"CDK5",29,22,7,0,1
"POLR2A",36,26,10,0,1
"SORBS2",7,5,2,0,1
"ABL2",2,1,1,0,1
"VIM",38,20,18,0,1
"YWHAG",58,42,16,0,1
"ATXN1",27,17,10,0,1
"CSNK2A1",40,31,9,0,1
"USP7",19,16,3,0,1
"ACE2",2,1,1,0,1
"APP",28,10,18,0,1
"CTNNB1",43,28,15,0,1
"FYN",62,25,37,0,1
"LCK",47,20,27,0,1
"ACTB",46,30,16,0,1
"BCL2L1",18,13,5,0,1
"CSNK1A1",9,5,4,0,1
"PFDN1",11,5,6,0,1
"TK1",43,30,13,0,1
"ACTC1",15,5,10,0,1
"DMD",10,6,4,0,1
"DYNLL1",16,12,4,0,1
"HSPB1",7,4,3,0,1
"VCL",35,16,19,0,1
"ACTG1",13,2,11,0,1
"CFL1",8,4,4,0,1
"PFN2",5,3,2,0,1
"RPS6KA5",10,7,3,0,1
"SH3GL2",16,12,4,0,1
"ARHGDIA",13,12,1,0,1
"TRRAP",9,7,2,0,1
"ACTN1",18,10,8,0,1
"COIL",17,14,3,0,1
"MAGEA11",16,10,6,0,1
"PKN1",15,12,3,0,1
"SLC2A4",9,8,1,0,1
"ACTR1A",4,2,2,0,1
"NUMA1",5,3,2,0,1
"ACTR3",2,1,1,0,1
"CTTN",2,1,1,0,1
"ACVR1",14,9,5,0,1
"RRAS2",7,4,3,0,1
"INHBB",6,1,5,0,1
"ACVR2A",5,3,2,0,1
"TGFBR1",38,15,23,0,1
"GRB2",79,40,39,0,1
"TNFSF11",7,2,5,0,1
"ADAM9",7,2,5,0,1
"PRKCD",29,14,15,0,1
"ANXA7",44,30,14,0,1
"CDKN1A",42,33,9,0,1
"FN1",25,15,10,0,1
"ADCYAP1",2,1,1,0,1
"CASP2",8,1,7,0,1
"APPL1",3,1,2,0,1
"LSM1",10,1,9,0,1
"EDN1",6,4,2,0,1
"GNAI2",27,21,6,0,1
"DRD2",9,2,7,0,1
"AP2M1",5,3,2,0,1
"EZR",17,6,11,0,1
"FLNC",3,1,2,0,1
"PRKCA",55,19,36,0,1
"EIF2B1",4,1,3,0,1
"GNAO1",5,3,2,0,1
"ARRB1",15,6,9,0,1
"DLG4",37,11,26,0,1
"GRK6",5,2,3,0,1
"GIT1",28,13,15,0,1
"HMGB1",31,26,5,0,1
"PRKCB",29,17,12,0,1
"MLLT3",3,1,2,0,1
"CCDC85B",64,53,11,0,1
"AGT",4,2,2,0,1
"EWSR1",35,17,18,0,1
"PRG2",2,1,1,0,1
"ARRB2",10,4,6,0,1
"EGFR",61,25,36,0,1
"HRAS",26,14,12,0,1
"PLCG1",42,18,24,0,1
"ARNT",20,9,11,0,1
"NCOA2",19,9,10,0,1
"NCOR2",43,25,18,0,1
"RB1",89,71,18,0,1
"LCP1",5,2,3,0,1
"WWC1",3,2,1,0,1
"AIP",2,1,1,0,1
"PRKAR2B",5,4,1,0,1
"PRKAR2A",9,6,3,0,1
"VASP",12,9,3,0,1
"KPNB1",14,9,5,0,1
"AKAP9",12,10,2,0,1
"AKT1",40,13,27,0,1
"CASP3",45,20,25,0,1
"CHUK",24,16,8,0,1
"HTT",29,19,10,0,1
"PPP2CA",18,7,11,0,1
"PTEN",7,5,2,0,1
"RAF1",29,17,12,0,1
"TCEA2",5,3,2,0,1
"HSP90AA1",23,9,14,0,1
"PDPK1",11,7,4,0,1
"XRN1",12,9,3,0,1
"HSPA8",25,13,12,0,1
"PTN",15,4,11,0,1
"SHC1",62,30,32,0,1
"BMPR1B",14,1,13,0,1
"AMOTL2",5,3,2,0,1
"MAD1L1",8,7,1,0,1
"CSNK2B",40,14,26,0,1
"TEK",10,2,8,0,1
"ANK1",4,1,3,0,1
"CD44",24,10,14,0,1
"TRAF1",22,12,10,0,1
"ANXA1",9,4,5,0,1
"CCT7",7,4,3,0,1
"COPS6",34,21,13,0,1
"GAPDH",25,9,16,0,1
"PRKCI",17,11,6,0,1
"XRCC6",30,12,18,0,1
"ANXA11",2,1,1,0,1
"S100A6",2,1,1,0,1
"S100A10",10,5,5,0,1
"S100A4",3,2,1,0,1
"CCDC90B",11,7,4,0,1
"CDK4",16,11,5,0,1
"TLE1",34,30,4,0,1
"AP1M1",10,3,7,0,1
"AP2B1",12,6,6,0,1
"AP2A1",11,6,5,0,1
"AP3B1",6,3,3,0,1
"ARF1",24,7,17,0,1
"CLTC",16,8,8,0,1
"HSPA1A",17,9,8,0,1
"APBA1",3,1,2,0,1
"CCS",2,1,1,0,1
"NOTCH1",15,9,6,0,1
"COL4A1",9,3,6,0,1
"EP300",99,85,14,0,1
"HDAC1",46,37,9,0,1
"PCNA",35,30,5,0,1
"SETDB1",41,31,10,0,1
"APOA1",5,1,4,0,1
"LRP1",18,10,8,0,1
"CAV1",43,21,22,0,1
"COL4A2",11,6,5,0,1
"APPBP2",5,2,3,0,1
"XRCC4",5,2,3,0,1
"TRIP6",9,6,3,0,1
"AR",15,4,11,0,1
"RELA",42,7,35,0,1
"ARPC3",2,1,1,0,1
"UBQLN4",38,17,21,0,1
"COPB1",6,2,4,0,1
"INSR",37,15,22,0,1
"PICK1",14,6,8,0,1
"RALA",8,7,1,0,1
"HSP90AB1",6,3,3,0,1
"PIK3R1",59,30,29,0,1
"RASA1",36,22,14,0,1
"RHOA",24,11,13,0,1
"SRC",50,24,26,0,1
"WAS",17,8,9,0,1
"RAC2",6,2,4,0,1
"RHOH",3,1,2,0,1
"ARHGEF1",7,5,2,0,1
"CSNK1E",19,14,5,0,1
"ARHGEF11",4,2,2,0,1
"GNA13",15,5,10,0,1
