"Name","K","Kin","Kout","TypeI","TypeII"
"NFE2L2",8,4,4,0,1
"CDC34",8,6,2,0,1
"LUC7L2",20,10,10,0,1
"GABARAPL2",7,6,1,0,1
"MDM2",13,6,7,0,1
"STK11",7,4,3,0,1
"TOPBP1",6,3,3,0,1
"XRCC5",14,8,6,0,1
"ATN1",45,19,26,0,1
"EWSR1",35,16,19,0,1
"SIAH1",12,10,2,0,1
"SUMO2",16,13,3,0,1
"MAPK3",45,34,11,0,1
"ATP1B1",5,3,2,0,1
"MBIP",12,7,5,0,1
"ATP5C1",8,6,2,0,1
"YWHAB",55,33,22,0,1
"PIN1",23,13,10,0,1
"MARK3",10,6,4,0,1
"EZH2",9,1,8,0,1
"PQBP1",4,3,1,0,1
"CDKN1A",31,22,9,0,1
"AURKA",8,3,5,0,1
"NME1",7,2,5,0,1
"GRK5",7,2,5,0,1
"AXL",12,1,11,0,1
"CBL",34,18,16,0,1
"IL2RG",8,6,2,0,1
"PIK3R2",21,17,4,0,1
"B2M",5,2,3,0,1
"PRSS23",9,3,6,0,1
"PSAP",5,4,1,0,1
"BAD",22,10,12,0,1
"MAPK8",20,17,3,0,1
"YWHAH",21,16,5,0,1
"YWHAQ",33,19,14,0,1
"BAG1",7,4,3,0,1
"DAZAP2",15,8,7,0,1
"DVL3",18,13,5,0,1
"CHD3",37,23,14,0,1
"IKBKAP",11,7,4,0,1
"BID",15,9,6,0,1
"BCAR1",25,18,7,0,1
"PKD1",10,7,3,0,1
"MAPK1",43,29,14,0,1
"RXRA",36,12,24,0,1
"NCOR1",23,11,12,0,1
"RUNX1T1",13,5,8,0,1
"ERCC3",9,6,3,0,1
"CPE",6,3,3,0,1
"RBL1",18,17,1,0,1
"TRIM27",7,5,2,0,1
"NIF3L1",22,16,6,0,1
"U2AF2",7,3,4,0,1
"BMP4",4,2,2,0,1
"BIRC2",12,3,9,0,1
"JUP",14,7,7,0,1
"TRADD",15,8,7,0,1
"UBB",21,11,10,0,1
"CASP7",13,9,4,0,1
"DIABLO",4,1,3,0,1
"BLOC1S2",3,2,1,0,1
"HSPG2",8,5,3,0,1
"MAP3K8",5,4,1,0,1
"TUBB",17,5,12,0,1
"BRCA1",48,3,45,0,1
"CREB1",15,9,6,0,1
"CREBBP",80,35,45,0,1
"LMO4",9,7,2,0,1
"SMAD3",31,11,20,0,1
"HAP1",26,21,5,0,1
"HIST3H3",18,8,10,0,1
"RBL2",18,13,5,0,1
"CDC25C",10,6,4,0,1
"PDLIM7",7,3,4,0,1
"TRIM5",3,2,1,0,1
"BTK",38,3,35,0,1
"IRAK1",25,7,18,0,1
"KIT",20,6,14,0,1
"MYD88",13,4,9,0,1
"PLCG2",25,16,9,0,1
"PRKCE",16,5,11,0,1
"PRKCQ",8,2,6,0,1
"PRKCZ",28,12,16,0,1
"TUBA1A",20,6,14,0,1
"BTRC",14,6,8,0,1
"SKP1",8,5,3,0,1
"PLK1",27,12,15,0,1
"BUB1B",3,1,2,0,1
"UBQLN4",29,15,14,0,1
"C2orf44",6,2,4,0,1
"C3",4,3,1,0,1
"C7orf25",5,3,2,0,1
"C8orf33",11,6,5,0,1
"CCNE1",9,3,6,0,1
"CACNA1A",3,2,1,0,1
"SYT1",3,1,2,0,1
"DMD",8,4,4,0,1
"CALCA",2,1,1,0,1
"NRD1",2,1,1,0,1
"CALCR",4,2,2,0,1
"RAMP3",3,1,2,0,1
"MYLK",14,11,3,0,1
"MYO5A",5,3,2,0,1
"STRN4",10,4,6,0,1
