"","Name","K","Kin","Kout","TypeI","TypeII","logFC"
"519","PIAS4",27,23,4,0,1,0.102171785517276
"520","SUMO2",16,13,3,0,1,0.101582618232266
"521","RDH11",1,0,1,1,0,0.101370856415054
"522","NDEL1",5,2,3,0,1,0.101237079356702
"523","NFU1",1,0,1,1,0,0.101047884968374
"524","CDK5",28,21,7,0,1,0.100934282346309
"525","MGMT",1,0,1,1,0,0.100584264418421
"526","RPLP2",1,0,1,1,0,0.100241369825392
"527","TRH",1,0,1,1,0,0.100215275571311
"528","CDH15",1,0,1,1,0,0.100075363423711
"529","BTRC",14,6,8,0,1,0.0996194703417146
"530","DNAJC7",6,4,2,0,1,0.099440502956778
"531","NAV2",1,0,1,1,0,0.0992799571291556
"532","PSEN2",10,4,6,0,1,0.098905094861081
"533","HDLBP",1,0,1,1,0,0.0988228509828062
"534","MEX3B",1,0,1,1,0,0.0987637103233183
"535","CELSR3",5,0,5,2,0,0.0985502889693173
"536","ANXA11",2,0,2,2,0,0.0980062843850291
"537","AFF1",3,1,2,0,1,0.0978871095703955
"538","ZFYVE9",11,8,3,0,1,0.0976459144246151
"539","TNFRSF13C",2,0,2,2,0,0.0972827330186874
"540","COPS6",23,10,13,0,1,0.0970185495923488
"541","CSTF2",11,7,4,0,1,0.0968772335712487
"542","TUBA1B",2,0,2,1,0,0.0966229934466796
"543","POLDIP2",4,1,3,0,1,0.0964410926233175
"544","ST3GAL3",1,0,1,1,0,0.0962874560033349
"545","ACP6",1,0,1,2,0,0.0961861980072856
"546","PSAP",5,4,1,0,1,0.0960623430742302
"547","SMARCD3",1,0,1,2,0,0.0959275357266041
"548","NFKB2",10,4,6,0,1,0.0955106068971645
"549","RABAC1",15,8,7,0,1,0.0954581573281974
"550","RHOG",6,4,2,0,1,0.0952912134029891
"551","NTRK1",14,3,11,0,1,0.0952050820097279
"552","HGS",23,10,13,0,1,0.0947510181516513
"553","CD27",1,0,1,1,0,0.0939135475399979
"554","ING2",2,0,2,1,0,0.0938458928453993
"555","PPM1B",1,0,1,1,0,0.0937465717621837
"556","GSK3B",38,11,27,0,1,0.0936401570273535
"557","SNRPC",1,0,1,1,0,0.0930746598027934
"558","KLC2",1,0,1,1,0,0.0921990717945738
"559","UPF3B",4,0,4,2,0,0.0919506048052519
"560","PPP2CA",18,8,10,0,1,0.0919048090581569
"561","TRIM2",2,1,1,0,1,0.0915894313357217
"562","TNNI1",2,0,2,1,0,0.0915786116466855
"563","SUCLG2",1,0,1,2,0,0.090937980477948
"564","LSM7",2,1,1,0,1,0.0906810093056318
"565","BAX",7,0,7,2,0,0.0900873262780841
"566","MAP2K6",9,5,4,0,1,0.0900055534870923
"567","NFKBIB",12,6,6,0,1,0.0893843938194578
"568","CFL1",10,5,5,0,1,0.0893018199817046
"569","PSMB7",1,0,1,1,0,0.0891908368467202
"570","NEK1",10,8,2,0,1,0.0887779744721255
"571","CNOT2",1,0,1,2,0,0.0884615840029479
"572","POLR2G",1,0,1,1,0,0.0881757892305739
"573","CD55",1,0,1,1,0,0.0880487285855143
"574","CAP1",1,0,1,1,0,0.0869799772068109
"575","CBFB",1,0,1,2,0,0.0862172575580296
"576","DMD",8,4,4,0,1,0.086134932504331
"577","DALRD3",1,0,1,1,0,0.0860888406273457
"578","LUC7L2",20,10,10,0,1,0.0857959827528809
"579","NLRC4",1,0,1,2,0,0.0856500805498932
"580","TFE3",2,0,2,2,0,0.0856008344452199
"581","TRADD",15,8,7,0,1,0.0843738315945188
"582","SOX10",13,5,8,0,1,0.0835983360654096
"583","CLTA",1,0,1,1,0,0.0835757043369885
"584","KCNQ1",1,0,1,1,0,0.0823370412414075
"585","SETDB1",42,31,11,0,1,0.0821959351722157
"586","RHOA",23,11,12,0,1,0.0815970582818402
"587","SMARCA4",16,8,8,0,1,0.081519525489723
"588","SSBP4",1,0,1,1,0,0.0813925517265073
"589","PEA15",4,0,4,2,0,0.0809429255627734
"590","PHF10",1,0,1,1,0,0.0804360399234056
"591","HDAC3",28,20,8,0,1,0.0803911289545756
"592","ONECUT1",1,0,1,1,0,0.0802942022297612
"593","C8orf48",1,0,1,1,0,0.0792417629999553
"594","TALDO1",1,0,1,1,0,0.0792299398497605
"595","RPA2",14,7,7,0,1,0.079208752043864
"596","IDH3A",1,0,1,2,0,0.0790132302508155
"597","MAPK12",8,5,3,0,1,0.078797358928469
"598","CNTNAP1",1,0,1,1,0,0.0787625273323709
"599","PRKCD",30,15,15,0,1,0.0787610216637837
"600","UCN",2,1,1,0,1,0.0787447793105223
"601","DAP3",1,0,1,1,0,0.07858681949239
"602","MAPK1IP1L",1,0,1,1,0,0.0782856254310449
"603","SHC1",60,30,30,0,1,0.0774397423870798
"604","SAAL1",1,0,1,1,0,0.0772582026626214
"605","RAE1",1,0,1,2,0,0.0771270551648371
"606","NES",1,0,1,1,0,0.0769590690568531
"607","RAB31",1,0,1,1,0,0.07639916648675
"608","PURB",1,0,1,2,0,0.0763972078066093
"609","NUP153",1,0,1,1,0,0.0757210586301351
"610","DAZAP2",15,8,7,0,1,0.0757128262742288
"611","TUBG1",9,5,4,0,1,0.0756512175635571
"612","NRD1",2,1,1,0,1,0.0748646605241632
"613","DCTN2",2,0,2,1,0,0.0741654863652474
"614","E2F6",1,0,1,1,0,0.0727104936765173
"615","PIP4K2B",1,0,1,2,0,0.0726616395751609
"616","UBE2W",1,0,1,1,0,0.0720086805537612
"617","IARS",2,1,1,0,1,0.0715101321222065
"618","THAP1",1,0,1,1,0,0.0713935445928602
"619","PEX5",3,0,3,2,0,0.0707363274297403
"620","NFYC",1,0,1,2,0,0.0706589198590617
"621","ARF1",22,6,16,0,1,0.0699903926717464
"622","ZBTB5",1,0,1,1,0,0.0693272502196445
"623","RAB5B",1,0,1,2,0,0.0689821246124751
"624","HDAC6",10,8,2,0,1,0.0685441699552136
"625","EIF2AK1",1,0,1,1,0,0.0671026074656531
"626","SMARCC1",4,1,3,0,1,0.0665962573700138
"627","EIF2B1",2,1,1,0,1,0.066565726257144
"628","TBP",33,12,21,0,1,0.0652774753291894
"629","MMS19",1,0,1,1,0,0.0638450615647308
"630","PPP2R1A",10,7,3,0,1,0.0606062606502551
"631","DNPEP",2,0,2,1,0,0.0583783307623396
"632","ABCF3",4,3,1,0,1,NA
"633","ABL1",28,15,13,0,1,NA
"634","ACTN1",21,12,9,0,1,NA
"635","ACTN4",10,7,3,0,1,NA
"636","ACVR1",27,12,15,0,1,NA
"637","ACVR2A",4,3,1,0,1,NA
"638","ADRA2A",5,2,3,0,1,NA
"639","AIP",3,2,1,0,1,NA
"640","AKAP10",6,3,3,0,1,NA
"641","AKAP9",12,9,3,0,1,NA
"642","AMPH",3,1,2,0,1,NA
"643","ANXA7",51,33,18,0,1,NA
"644","AP1M1",10,2,8,0,1,NA
"645","AP2A1",12,7,5,0,1,NA
"646","AP2M1",7,5,2,0,1,NA
"647","AP3B1",6,2,4,0,1,NA
"648","APOA1",5,2,3,0,1,NA
"649","APP",33,14,19,0,1,NA
"650","APPL1",5,1,4,0,1,NA
"651","AR",26,7,19,0,1,NA
"652","ARHGDIA",13,12,1,0,1,NA
"653","ARHGEF11",6,3,3,0,1,NA
"654","ARHGEF15",2,1,1,0,1,NA
"655","ARPC3",5,2,3,0,1,NA
"656","ARRB1",13,5,8,0,1,NA
"657","ASCC2",15,10,5,0,1,NA
"658","ATF7IP",18,8,10,0,1,NA
"659","ATN1",45,19,26,0,1,NA
"660","ATP5C1",8,6,2,0,1,NA
"661","AURKA",8,3,5,0,1,NA
"662","AXL",12,1,11,0,1,NA
"663","B2M",5,2,3,0,1,NA
"664","BAG1",7,4,3,0,1,NA
"665","BCAR1",25,18,7,0,1,NA
"666","BCL2L1",17,13,4,0,1,NA
"667","BCR",16,10,6,0,1,NA
"668","BID",15,9,6,0,1,NA
"669","BUB1B",3,1,2,0,1,NA
"670","C2orf44",6,2,4,0,1,NA
"671","C3",4,3,1,0,1,NA
"672","C7orf25",5,3,2,0,1,NA
"673","CACNA1A",3,2,1,0,1,NA
"674","CALCA",2,1,1,0,1,NA
"675","CALCOCO2",12,5,7,0,1,NA
"676","CAMK2A",12,9,3,0,1,NA
"677","CAPNS1",6,2,4,0,1,NA
"678","CASP3",55,21,34,0,1,NA
"679","CASP7",13,9,4,0,1,NA
"680","CASP8",29,8,21,0,1,NA
"681","CBL",34,18,16,0,1,NA
"682","CCDC85B",63,49,14,0,1,NA
"683","CCDC90B",11,8,3,0,1,NA
"684","CCL21",5,3,2,0,1,NA
"685","CCL22",3,2,1,0,1,NA
"686","CCR1",9,6,3,0,1,NA
"687","CCR5",8,5,3,0,1,NA
"688","CD2",10,8,2,0,1,NA
"689","CD244",2,1,1,0,1,NA
"690","CD247",13,2,11,0,1,NA
"691","CD3E",8,4,4,0,1,NA
"692","CD44",21,8,13,0,1,NA
"693","CD48",5,2,3,0,1,NA
"694","CDC25C",10,6,4,0,1,NA
"695","CDC34",8,6,2,0,1,NA
"696","CDK5RAP2",9,6,3,0,1,NA
"697","CEBPE",9,5,4,0,1,NA
"698","CHD3",37,23,14,0,1,NA
"699","CHRNA4",3,1,2,0,1,NA
"700","CHUK",32,21,11,0,1,NA
"701","CIB1",6,3,3,0,1,NA
"702","CNKSR1",5,3,2,0,1,NA
"703","COIL",20,15,5,0,1,NA
"704","COL2A1",10,6,4,0,1,NA
"705","COPB1",9,4,5,0,1,NA
"706","CPE",6,3,3,0,1,NA
"707","CPNE2",4,3,1,0,1,NA
"708","CREB3",3,1,2,0,1,NA
"709","CREBBP",80,35,45,0,1,NA
"710","CSK",16,10,6,0,1,NA
"711","CSNK1A1",12,7,5,0,1,NA
"712","CSNK2A1",49,36,13,0,1,NA
"713","CTGF",5,3,2,0,1,NA
"714","CTNND2",3,1,2,0,1,NA
"715","CXCL13",5,4,1,0,1,NA
"716","DCTN1",12,8,4,0,1,NA
"717","DDIT3",5,3,2,0,1,NA
"718","DIABLO",4,1,3,0,1,NA
"719","DISC1",4,2,2,0,1,NA
"720","DLG3",9,1,8,0,1,NA
"721","DLST",5,3,2,0,1,NA
"722","DOK1",10,3,7,0,1,NA
"723","DPYSL2",3,2,1,0,1,NA
"724","DRAP1",6,2,4,0,1,NA
"725","DUSP10",4,1,3,0,1,NA
"726","DUSP23",8,3,5,0,1,NA
"727","DVL3",18,13,5,0,1,NA
"728","E2F2",5,2,3,0,1,NA
"729","E2F3",9,4,5,0,1,NA
"730","EFNB2",8,3,5,0,1,NA
"731","EIF2S2",10,4,6,0,1,NA
"732","EIF3E",6,1,5,0,1,NA
"733","EIF4EBP1",11,7,4,0,1,NA
"734","EP300",84,71,13,0,1,NA
"735","EPB41",12,4,8,0,1,NA
"736","EPS8",10,4,6,0,1,NA
"737","ERBB2",25,4,21,0,1,NA
"738","ERCC3",9,6,3,0,1,NA
"739","EWSR1",35,16,19,0,1,NA
"740","EXOSC6",13,2,11,0,1,NA
"741","EZH2",9,1,8,0,1,NA
"742","F10",5,2,3,0,1,NA
"743","F2",7,1,6,0,1,NA
"744","FADD",17,7,10,0,1,NA
"745","FAM118B",10,6,4,0,1,NA
"746","FGFR3",12,8,4,0,1,NA
"747","FLNA",17,10,7,0,1,NA
"748","FLT3LG",2,1,1,0,1,NA
"749","FRS3",6,3,3,0,1,NA
"750","FXR2",16,9,7,0,1,NA
"751","FYN",67,31,36,0,1,NA
"752","FZD9",3,1,2,0,1,NA
"753","GABARAP",3,2,1,0,1,NA
"754","GADD45A",20,12,8,0,1,NA
"755","GATA4",2,1,1,0,1,NA
"756","GIT1",27,14,13,0,1,NA
"757","GNA12",6,1,5,0,1,NA
"758","GNA13",16,6,10,0,1,NA
"759","GNAI2",31,21,10,0,1,NA
"760","GNAI3",17,4,13,0,1,NA
"761","GNAO1",5,2,3,0,1,NA
"762","GNAZ",6,4,2,0,1,NA
"763","GPRASP1",8,2,6,0,1,NA
"764","GPS1",9,4,5,0,1,NA
"765","GPS2",6,3,3,0,1,NA
"766","GRB2",78,41,37,0,1,NA
"767","GRIA4",4,3,1,0,1,NA
"768","GRID2",3,1,2,0,1,NA
"769","GRM5",11,1,10,0,1,NA
"770","GTF2E2",16,9,7,0,1,NA
"771","GTF2F1",12,8,4,0,1,NA
"772","GTF3C1",9,7,2,0,1,NA
"773","GZMB",5,1,4,0,1,NA
"774","H2AFX",10,5,5,0,1,NA
"775","HAP1",26,21,5,0,1,NA
"776","HBEGF",6,2,4,0,1,NA
"777","HDAC1",50,41,9,0,1,NA
"778","HDAC4",15,12,3,0,1,NA
"779","HIPK3",6,3,3,0,1,NA
"780","HMOX2",7,3,4,0,1,NA
"781","HMP19",5,1,4,0,1,NA
"782","HNF1A",8,4,4,0,1,NA
"783","HOMER1",10,4,6,0,1,NA
"784","HOXC8",4,2,2,0,1,NA
"785","HRAS",28,20,8,0,1,NA
"786","HSPA1A",15,13,2,0,1,NA
"787","HSPA5",9,2,7,0,1,NA
"788","HTR1D",2,1,1,0,1,NA
"789","HTT",28,16,12,0,1,NA
"790","ICAM1",10,6,4,0,1,NA
"791","ID2",18,9,9,0,1,NA
"792","IGF1R",16,7,9,0,1,NA
"793","IKBKAP",11,7,4,0,1,NA
"794","IKBKB",18,13,5,0,1,NA
"795","IL18",4,2,2,0,1,NA
"796","IL2RG",8,6,2,0,1,NA
"797","IL4R",7,1,6,0,1,NA
"798","ILK",10,8,2,0,1,NA
"799","IRAK1",25,7,18,0,1,NA
"800","IRS1",20,14,6,0,1,NA
"801","ITCH",5,2,3,0,1,NA
"802","ITFG1",4,2,2,0,1,NA
"803","ITGA3",6,2,4,0,1,NA
"804","ITGAV",8,4,4,0,1,NA
"805","ITGB3BP",5,3,2,0,1,NA
"806","JAK1",31,12,19,0,1,NA
"807","JAK3",8,4,4,0,1,NA
"808","JUN",46,19,27,0,1,NA
"809","KAT2A",14,11,3,0,1,NA
"810","KIAA1279",3,1,2,0,1,NA
"811","KIAA1377",22,11,11,0,1,NA
"812","KPNB1",15,8,7,0,1,NA
"813","KRT18",10,5,5,0,1,NA
"814","LCK",40,18,22,0,1,NA
"815","LMO2",4,2,2,0,1,NA
"816","LMO4",9,7,2,0,1,NA
"817","LRP1",15,8,7,0,1,NA
"818","LRP2",12,6,6,0,1,NA
"819","LSM1",11,1,10,0,1,NA
"820","LSM5",6,4,2,0,1,NA
"821","MACF1",4,2,2,0,1,NA
"822","MAD1L1",8,7,1,0,1,NA
"823","MAD2L1",7,2,5,0,1,NA
"824","MAFK",2,1,1,0,1,NA
"825","MAGEA11",9,6,3,0,1,NA
"826","MAGEA4",2,1,1,0,1,NA
"827","MAP1B",8,2,6,0,1,NA
"828","MAP1LC3B",14,13,1,0,1,NA
"829","MAP2K1",20,7,13,0,1,NA
"830","MAP2K7",6,4,2,0,1,NA
"831","MAP3K14",11,6,5,0,1,NA
"832","MAPK14",19,13,6,0,1,NA
"833","MAPK3",45,34,11,0,1,NA
"834","MAPK6",58,33,25,0,1,NA
"835","MAPK8IP2",8,3,5,0,1,NA
"836","MARK3",10,6,4,0,1,NA
"837","MBIP",12,7,5,0,1,NA
"838","MBP",10,3,7,0,1,NA
"839","MCM10",15,7,8,0,1,NA
"840","MDFI",26,21,5,0,1,NA
"841","MDM2",13,6,7,0,1,NA
"842","MECP2",7,3,4,0,1,NA
"843","MED17",4,2,2,0,1,NA
"844","MED19",3,1,2,0,1,NA
"845","MED22",3,1,2,0,1,NA
"846","MED25",7,3,4,0,1,NA
"847","MED8",19,11,8,0,1,NA
"848","MED9",8,4,4,0,1,NA
"849","MEOX1",3,2,1,0,1,NA
"850","MET",14,4,10,0,1,NA
"851","MINK1",4,1,3,0,1,NA
"852","MLLT3",3,1,2,0,1,NA
"853","MLNR",2,1,1,0,1,NA
"854","MMP3",4,3,1,0,1,NA
"855","MPDZ",5,1,4,0,1,NA
"856","MPHOSPH6",5,3,2,0,1,NA
"857","MSX1",8,3,5,0,1,NA
"858","MYC",18,6,12,0,1,NA
"859","MYD88",13,4,9,0,1,NA
"860","NANOS1",3,2,1,0,1,NA
"861","NAPA",6,2,4,0,1,NA
"862","NCAN",4,3,1,0,1,NA
"863","NCK1",24,2,22,0,1,NA
"864","NCL",9,6,3,0,1,NA
"865","NCOA1",31,17,14,0,1,NA
"866","NCOA6",13,6,7,0,1,NA
"867","NCOR1",23,11,12,0,1,NA
"868","NDC80",12,5,7,0,1,NA
"869","NEDD8",4,2,2,0,1,NA
"870","NEK2",7,2,5,0,1,NA
"871","NFIC",3,2,1,0,1,NA
"872","NFKB1",27,14,13,0,1,NA
"873","NFYA",6,3,3,0,1,NA
"874","NGFR",17,5,12,0,1,NA
"875","NIF3L1",22,16,6,0,1,NA
"876","NME1",7,2,5,0,1,NA
"877","NOTCH1",17,10,7,0,1,NA
"878","NOV",5,3,2,0,1,NA
"879","NR3C1",21,3,18,0,1,NA
"880","NR4A1",8,1,7,0,1,NA
"881","NR5A1",7,2,5,0,1,NA
"882","NTF3",2,1,1,0,1,NA
"883","NUDT21",13,6,7,0,1,NA
"884","NUMA1",6,5,1,0,1,NA
"885","OPRD1",8,2,6,0,1,NA
"886","P4HB",5,3,2,0,1,NA
"887","PAFAH1B1",7,2,5,0,1,NA
"888","PAK1",27,18,9,0,1,NA
"889","PCNA",27,23,4,0,1,NA
"890","PDE6D",10,1,9,0,1,NA
"891","PDGFRB",20,3,17,0,1,NA
"892","PDLIM7",7,3,4,0,1,NA
"893","PDPK1",25,16,9,0,1,NA
"894","PFDN1",14,8,6,0,1,NA
"895","PFN1",13,5,8,0,1,NA
"896","PFN2",7,1,6,0,1,NA
"897","PIK3R2",21,17,4,0,1,NA
"898","PIK3R3",13,8,5,0,1,NA
"899","PIN1",23,13,10,0,1,NA
"900","PIP4K2A",2,1,1,0,1,NA
"901","PIP4K2C",4,1,3,0,1,NA
"902","PKD1",10,7,3,0,1,NA
"903","PLCD1",5,2,3,0,1,NA
"904","PLCG1",46,18,28,0,1,NA
"905","PLEKHF2",11,9,2,0,1,NA
"906","PLG",8,5,3,0,1,NA
"907","PLK1",27,12,15,0,1,NA
"908","PLSCR1",25,9,16,0,1,NA
"909","PNN",6,2,4,0,1,NA
"910","POLA2",12,4,8,0,1,NA
"911","POLR2A",33,23,10,0,1,NA
"912","POLR3F",5,2,3,0,1,NA
"913","PPBP",4,1,3,0,1,NA
"914","PPFIBP2",4,2,2,0,1,NA
"915","PQBP1",4,3,1,0,1,NA
"916","PRKACA",26,6,20,0,1,NA
"917","PRKAR2A",4,3,1,0,1,NA
"918","PRKCG",17,5,12,0,1,NA
"919","PRKCQ",8,2,6,0,1,NA
"920","PRKD2",12,10,2,0,1,NA
"921","PRMT1",16,8,8,0,1,NA
"922","PROX1",4,2,2,0,1,NA
"923","PRTN3",4,3,1,0,1,NA
"924","PSEN1",17,9,8,0,1,NA
"925","PSMD4",2,1,1,0,1,NA
"926","PTGES3",7,6,1,0,1,NA
"927","PTGS2",2,1,1,0,1,NA
"928","PTK2",27,14,13,0,1,NA
"929","PTPN6",32,4,28,0,1,NA
"930","PTPRC",25,14,11,0,1,NA
"931","RAB1A",9,7,2,0,1,NA
"932","RAB27A",8,5,3,0,1,NA
"933","RAB8A",4,2,2,0,1,NA
"934","RAC1",17,4,13,0,1,NA
"935","RAF1",28,16,12,0,1,NA
"936","RAMP3",3,1,2,0,1,NA
"937","RAP1A",12,5,7,0,1,NA
"938","RAP2A",9,4,5,0,1,NA
"939","RASA1",35,16,19,0,1,NA
"940","RB1",100,80,20,0,1,NA
"941","RBL2",18,13,5,0,1,NA
"942","RBM8A",3,1,2,0,1,NA
"943","RBPMS",14,12,2,0,1,NA
"944","RBX1",8,6,2,0,1,NA
"945","RCVRN",2,1,1,0,1,NA
"946","RDX",7,3,4,0,1,NA
"947","RELA",38,8,30,0,1,NA
"948","RGS19",12,6,6,0,1,NA
"949","RGS2",21,2,19,0,1,NA
"950","RING1",6,5,1,0,1,NA
"951","RLN3",2,1,1,0,1,NA
"952","RNF11",24,12,12,0,1,NA
"953","RNF7",4,1,3,0,1,NA
"954","RNPS1",5,4,1,0,1,NA
"955","ROCK1",8,4,4,0,1,NA
"956","RPGR",3,1,2,0,1,NA
"957","RPS6KA3",13,6,7,0,1,NA
"958","RUNX1",6,4,2,0,1,NA
"959","RXRA",36,12,24,0,1,NA
"960","RXRB",11,7,4,0,1,NA
"961","RYR1",7,6,1,0,1,NA
"962","S100A4",3,2,1,0,1,NA
"963","S1PR1",4,1,3,0,1,NA
"964","SAFB",14,9,5,0,1,NA
"965","SDC1",4,1,3,0,1,NA
"966","SH3GL2",6,4,2,0,1,NA
"967","SHANK1",10,2,8,0,1,NA
"968","SHBG",6,2,4,0,1,NA
"969","SIAH1",12,10,2,0,1,NA
"970","SIRPA",3,2,1,0,1,NA
"971","SIX3",2,1,1,0,1,NA
"972","SKP1",8,5,3,0,1,NA
"973","SLC9A3R1",13,6,7,0,1,NA
"974","SMAD3",31,11,20,0,1,NA
"975","SMAD5",13,4,9,0,1,NA
"976","SMAD7",7,2,5,0,1,NA
"977","SMG1",4,2,2,0,1,NA
"978","SNAP25",2,1,1,0,1,NA
"979","SNCA",13,3,10,0,1,NA
"980","SNRNP70",9,4,5,0,1,NA
"981","SNRPB",12,10,2,0,1,NA
"982","SNRPD2",6,2,4,0,1,NA
"983","SNX1",6,4,2,0,1,NA
"984","SNX2",10,4,6,0,1,NA
"985","SNX4",7,4,3,0,1,NA
"986","SOS1",26,11,15,0,1,NA
"987","SOX8",10,5,5,0,1,NA
"988","SPTBN4",7,3,4,0,1,NA
"989","SRC",55,24,31,0,1,NA
"990","SRF",20,11,9,0,1,NA
"991","SRGN",7,4,3,0,1,NA
"992","SST",4,2,2,0,1,NA
"993","SSTR5",3,1,2,0,1,NA
"994","STRN4",10,4,6,0,1,NA
"995","STX11",5,3,2,0,1,NA
"996","STX3",3,1,2,0,1,NA
"997","STX8",5,3,2,0,1,NA
"998","STXBP1",5,4,1,0,1,NA
"999","SUMO1",25,20,5,0,1,NA
"1000","SYNCRIP",5,4,1,0,1,NA
"1001","SYT4",3,1,2,0,1,NA
"1002","TARBP2",3,1,2,0,1,NA
"1003","TGFBR1",29,12,17,0,1,NA
"1004","TGM2",11,3,8,0,1,NA
"1005","TK1",44,32,12,0,1,NA
"1006","TLE1",27,23,4,0,1,NA
"1007","TLN1",10,5,5,0,1,NA
"1008","TNFRSF1A",25,9,16,0,1,NA
"1009","TNFRSF4",6,1,5,0,1,NA
"1010","TNNT1",15,8,7,0,1,NA
"1011","TOPBP1",6,3,3,0,1,NA
"1012","TP53",44,9,35,0,1,NA
"1013","TRAF1",16,7,9,0,1,NA
"1014","TRAF4",13,8,5,0,1,NA
"1015","TRAF6",22,6,16,0,1,NA
"1016","TRIM27",7,5,2,0,1,NA
"1017","TRIM37",17,8,9,0,1,NA
"1018","TRIM5",3,2,1,0,1,NA
"1019","TRIP6",12,8,4,0,1,NA
"1020","TRPC3",4,2,2,0,1,NA
"1021","TSG101",6,2,4,0,1,NA
"1022","TTR",11,5,6,0,1,NA
"1023","TUBB",17,5,12,0,1,NA
"1024","U2AF2",7,3,4,0,1,NA
"1025","UBE2D3",8,6,2,0,1,NA
"1026","UBE2L6",5,2,3,0,1,NA
"1027","UBE3A",21,18,3,0,1,NA
"1028","UBQLN1",8,5,3,0,1,NA
"1029","UBQLN4",29,15,14,0,1,NA
"1030","UNC119",33,14,19,0,1,NA
"1031","UTP14A",19,7,12,0,1,NA
"1032","VCAN",10,4,6,0,1,NA
"1033","VDAC1",4,1,3,0,1,NA
"1034","VHL",5,2,3,0,1,NA
"1035","WBP11",5,4,1,0,1,NA
"1036","WDYHV1",10,4,6,0,1,NA
"1037","WWP1",7,4,3,0,1,NA
"1038","WWP2",6,1,5,0,1,NA
"1039","XRCC4",4,2,2,0,1,NA
"1040","XRCC6",25,9,16,0,1,NA
"1041","XRN2",9,4,5,0,1,NA
"1042","YES1",10,7,3,0,1,NA
"1043","YWHAE",16,6,10,0,1,NA
"1044","YWHAG",93,67,26,0,1,NA
"1045","YWHAH",21,16,5,0,1,NA
"1046","YWHAQ",33,19,14,0,1,NA
"1047","ZBTB17",11,6,5,0,1,NA
"1048","ZMYND19",4,1,3,0,1,NA
"1049","ZNF446",3,1,2,0,1,NA
"1050","ZNF512B",12,2,10,0,1,NA
"1051","A1CF",1,0,1,1,0,NA
"1052","AAMP",1,0,1,1,0,NA
"1053","ABCB1",1,0,1,1,0,NA
"1054","ABCC9",1,0,1,1,0,NA
"1055","ACIN1",1,0,1,2,0,NA
"1056","ACP1",4,0,4,2,0,NA
"1057","ACTR2",3,0,3,2,0,NA
"1058","ACVR2B",4,0,4,2,0,NA
"1059","ADAMTS10",2,0,2,2,0,NA
"1060","ADCY6",1,0,1,1,0,NA
"1061","ADCYAP1R1",2,0,2,2,0,NA
"1062","ADIPOR1",1,0,1,2,0,NA
"1063","ADORA1",2,0,2,1,0,NA
"1064","ADORA2B",2,0,2,2,0,NA
"1065","ADRA1B",2,0,2,2,0,NA
"1066","ADRA2B",1,0,1,1,0,NA
"1067","AGER",1,0,1,1,0,NA
"1068","AKIRIN2",1,0,1,1,0,NA
"1069","ALK",1,0,1,1,0,NA
"1070","AMHR2",2,0,2,2,0,NA
"1071","ANK1",3,0,3,2,0,NA
"1072","ANKRD11",1,0,1,1,0,NA
"1073","AP1G1",2,0,2,2,0,NA
"1074","AP4M1",2,0,2,2,0,NA
"1075","APCS",2,0,2,1,0,NA
"1076","APEX2",2,0,2,1,0,NA
"1077","APOA1BP",1,0,1,1,0,NA
"1078","APOA2",1,0,1,2,0,NA
"1079","APOB",2,0,2,2,0,NA
"1080","APOBEC1",1,0,1,1,0,NA
"1081","ARHGAP1",7,0,7,2,0,NA
"1082","ARL6IP1",1,0,1,1,0,NA
"1083","ARR3",2,0,2,2,0,NA
"1084","ASGR2",2,0,2,2,0,NA
"1085","ASH2L",1,0,1,1,0,NA
"1086","ATF5",1,0,1,1,0,NA
"1087","ATG9A",1,0,1,2,0,NA
"1088","ATP6V0C",1,0,1,1,0,NA
"1089","ATP6V1A",2,0,2,1,0,NA
"1090","ATP6V1E1",3,0,3,2,0,NA
"1091","AVPR1A",1,0,1,1,0,NA
"1092","AVPR2",2,0,2,2,0,NA
"1093","BAI1",1,0,1,1,0,NA
"1094","BAI2",2,0,2,2,0,NA
"1095","BCL2L11",2,0,2,1,0,NA
"1096","BDKRB2",2,0,2,2,0,NA
"1097","BEND7",2,0,2,2,0,NA
"1098","BIRC6",1,0,1,2,0,NA
"1099","BRAP",1,0,1,1,0,NA
"1100","C10orf88",1,0,1,1,0,NA
"1101","C19orf57",1,0,1,2,0,NA
"1102","C1D",1,0,1,1,0,NA
"1103","C1orf94",1,0,1,1,0,NA
"1104","C5AR1",3,0,3,2,0,NA
"1105","C9orf114",1,0,1,1,0,NA
"1106","CABLES2",1,0,1,1,0,NA
"1107","CACNA1D",1,0,1,1,0,NA
"1108","CADM1",1,0,1,1,0,NA
"1109","CAPZA1",2,0,2,2,0,NA
"1110","CASP2",5,0,5,1,0,NA
"1111","CASR",2,0,2,2,0,NA
"1112","CAV2",6,0,6,2,0,NA
"1113","CCL16",1,0,1,1,0,NA
"1114","CCL17",1,0,1,2,0,NA
"1115","CCL19",1,0,1,1,0,NA
"1116","CCL25",1,0,1,2,0,NA
"1117","CCL7",2,0,2,2,0,NA
"1118","CCNB1",9,0,9,2,0,NA
"1119","CCNB2",3,0,3,1,0,NA
"1120","CCNC",2,0,2,1,0,NA
"1121","CCNK",7,0,7,2,0,NA
"1122","CCNL2",1,0,1,1,0,NA
"1123","CCR4",1,0,1,1,0,NA
"1124","CCRL1",4,0,4,2,0,NA
"1125","CD14",1,0,1,1,0,NA
