"","Name","K","Kin","Kout","TypeI","TypeII","logFC"
"120","STX7",2,0,2,1,0,0.259773833127518
"121","TRPC6",3,1,2,0,1,0.259425219439823
"122","EPB41L2",6,2,4,0,1,0.259193429344327
"123","FAP",1,0,1,2,0,0.25878752655592
"124","IQGAP2",2,0,2,1,0,0.258459524334004
"125","C3AR1",1,0,1,2,0,0.257500103058332
"126","ESRRG",1,0,1,1,0,0.256811589375614
"127","IL27RA",1,0,1,2,0,0.253556655128965
"128","ITPR1",15,5,10,0,1,0.253103703661893
"129","USP9X",2,0,2,2,0,0.250194133016263
"130","SOX6",2,1,1,0,1,0.247988972612089
"131","APBA1",5,0,5,2,0,0.247121873943706
"132","GRASP",1,0,1,2,0,0.246646265581712
"133","DLK1",1,0,1,1,0,0.246116996491848
"134","DDR2",4,0,4,2,0,0.245620661550733
"135","SPI1",13,8,5,0,1,0.245544587811455
"136","UBB",21,11,10,0,1,0.245110372416386
"137","CEBPG",10,6,4,0,1,0.24196393191203
"138","TLR8",2,0,2,2,0,0.238804962664899
"139","STX1A",21,12,9,0,1,0.238735472263355
"140","MEIS1",17,9,8,0,1,0.237869567956119
"141","BMP4",4,2,2,0,1,0.237576430893141
"142","EPHA3",3,0,3,2,0,0.236547657555065
"143","FLI1",7,4,3,0,1,0.234777391107448
"144","TCF7L2",1,0,1,1,0,0.233306227196845
"145","ARHGAP9",1,0,1,1,0,0.233205963409821
"146","MAPK8",20,17,3,0,1,0.231956395405594
"147","ACTG1",15,3,12,0,1,0.231930109262574
"148","FKBP8",1,0,1,1,0,0.23178459840457
"149","TM4SF1",4,0,4,2,0,0.231376092345002
"150","TNFRSF10D",1,0,1,2,0,0.230599320730838
"151","CXCR4",12,4,8,0,1,0.23042933979233
"152","NCOR2",35,20,15,0,1,0.230382459668235
"153","ATP1B1",5,3,2,0,1,0.230283828837365
"154","FURIN",5,0,5,2,0,0.229868916302694
"155","TSPAN3",1,0,1,1,0,0.228897380237633
"156","TSC22D1",4,2,2,0,1,0.228386831247418
"157","PTGDS",5,2,3,0,1,0.227832261204735
"158","HTR1F",1,0,1,1,0,0.227380313083035
"159","ELMO1",1,0,1,1,0,0.22733591440298
"160","CTSK",3,0,3,2,0,0.226783532555109
"161","LDLR",3,0,3,2,0,0.226307777212572
"162","PTPRU",3,0,3,2,0,0.225908692370764
"163","NCF4",6,5,1,0,1,0.225297661767467
"164","IRF7",3,0,3,2,0,0.224928562250133
"165","HHEX",2,0,2,2,0,0.224923479041876
"166","KITLG",1,0,1,2,0,0.22436923337362
"167","TSPAN6",2,0,2,2,0,0.22339831990165
"168","PRDX3",1,0,1,1,0,0.222358222098851
"169","STON2",1,0,1,1,0,0.221697152539785
"170","NID1",8,6,2,0,1,0.221274151582794
"171","LPHN2",2,0,2,2,0,0.219492605359809
"172","TYROBP",5,3,2,0,1,0.219044176561251
"173","PRKCE",16,5,11,0,1,0.218519317166564
"174","ANTXR1",1,0,1,1,0,0.21804008716494
"175","C5",2,0,2,2,0,0.217768211589312
"176","RPS6KA6",9,6,3,0,1,0.217568006687777
"177","VAV1",27,18,9,0,1,0.216267208929387
"178","CNR1",1,0,1,1,0,0.21612829261375
"179","HK1",3,2,1,0,1,0.214952445298207
"180","BNIP3L",2,0,2,2,0,0.214110367097378
"181","KLF6",3,0,3,2,0,0.2132965452333
"182","BIN1",10,7,3,0,1,0.21324156061663
"183","CRKL",26,10,16,0,1,0.212965289313006
"184","TGFB3",1,0,1,2,0,0.212520794689565
"185","EEF1A1",43,19,24,0,1,0.212155297708534
"186","RIN2",1,0,1,1,0,0.211562514232838
"187","SFN",19,14,5,0,1,0.211231266890424
"188","TJP1",11,2,9,0,1,0.211120135281474
"189","PTPRR",1,0,1,1,0,0.210960934389881
"190","NUDT18",12,8,4,0,1,0.210638366283942
"191","EPHA1",2,0,2,2,0,0.210392297868793
"192","FZD7",2,0,2,2,0,0.210114253344313
"193","GATA1",9,4,5,0,1,0.209266204978134
"194","ITGB6",2,0,2,1,0,0.207931282479962
"195","CALCRL",1,0,1,2,0,0.207706616481786
"196","DUSP4",2,0,2,1,0,0.207704814045377
"197","HSPG2",8,5,3,0,1,0.207628671294056
"198","SYTL2",2,0,2,1,0,0.206860136299793
"199","TSPAN15",1,0,1,1,0,0.206728372619398
"200","LINGO1",2,0,2,2,0,0.205505708790771
"201","MYLK",14,11,3,0,1,0.205010654818487
"202","PLCB2",2,0,2,2,0,0.205006462141591
"203","PBX1",8,2,6,0,1,0.204555282115718
"204","ARHGDIB",6,0,6,2,0,0.200993714688805
"205","VAV3",9,3,6,0,1,0.199731095098516
"206","PTGER2",2,0,2,2,0,0.198463245310609
"207","TNFRSF13B",4,0,4,2,0,0.197608066885365
"208","TNFRSF11A",6,0,6,2,0,0.197409281414371
"209","CLIC4",1,0,1,1,0,0.196666026946227
"210","CLTC",19,10,9,0,1,0.196565760990937
"211","OBSCN",1,0,1,1,0,0.196239874864158
"212","ACVRL1",3,0,3,2,0,0.196186266090624
"213","GMEB2",2,0,2,1,0,0.196061669836093
"214","KRT15",15,14,1,0,1,0.195137296766277
"215","SYT1",3,1,2,0,1,0.194602457686009
"216","CAV1",49,24,25,0,1,0.194208622935694
"217","MAPK8IP3",16,5,11,0,1,0.194113838042023
"218","AMFR",3,0,3,2,0,0.193820237754659
"219","PGD",1,0,1,1,0,0.192319865317735
"220","TRAK2",1,0,1,1,0,0.192296204331617
"221","LPAR1",1,0,1,1,0,0.191201589503859
"222","THBS1",21,10,11,0,1,0.190420389005128
"223","PRKG1",14,6,8,0,1,0.189521577704183
"224","EXPH5",1,0,1,1,0,0.189205202180331
"225","PARD3",8,3,5,0,1,0.188847035416131
"226","STAM",3,0,3,1,0,0.18828950710537
"227","HCK",35,25,10,0,1,0.188161187363848
"228","TFAP2A",3,0,3,2,0,0.188008302075907
"229","PIK3CG",9,7,2,0,1,0.187550591798392
"230","PRKD1",12,9,3,0,1,0.187446219047373
"231","CAMP",2,0,2,2,0,0.187414004978273
"232","TUBA1A",20,6,14,0,1,0.186768971024508
"233","ATP5A1",3,0,3,1,0,0.186456688027244
"234","ITGA9",1,0,1,1,0,0.186354648254966
"235","EGFR",68,32,36,0,1,0.186196258417574
"236","CCNE2",2,0,2,1,0,0.185027064949608
"237","DYNLL1",16,11,5,0,1,0.184880786418406
"238","ARMCX3",1,0,1,1,0,0.183758867842577
"239","GABARAPL2",7,6,1,0,1,0.182024894645814
"240","NFE2L2",8,4,4,0,1,0.181843480376815
"241","SLC9A3R2",14,7,7,0,1,0.181704284068479
"242","PTK2B",28,10,18,0,1,0.181326121787157
"243","TNIP1",3,0,3,2,0,0.180454244913667
"244","PLCG2",25,16,9,0,1,0.179952046189955
"245","COL3A1",7,4,3,0,1,0.179576172335135
"246","GIGYF1",1,0,1,1,0,0.177665768782672
"247","PRLR",6,0,6,2,0,0.176907122053022
"248","SNTB1",2,0,2,2,0,0.176714661133525
"249","BICD2",2,0,2,1,0,0.176507143212534
"250","PPP2R5A",10,6,4,0,1,0.175731396590985
"251","ANGPTL1",1,0,1,1,0,0.175678562304117
"252","TFDP1",7,5,2,0,1,0.175374522327127
"253","MEF2C",7,3,4,0,1,0.174682771681006
"254","OSMR",1,0,1,1,0,0.174320751727576
"255","FNBP4",2,0,2,1,0,0.174278276712478
"256","TLR3",1,0,1,1,0,0.17366565093525
"257","IL6R",1,0,1,1,0,0.172476355679195
"258","POMC",2,0,2,1,0,0.171793038860503
"259","PRSS23",9,3,6,0,1,0.171594272887381
"260","TFDP2",3,2,1,0,1,0.171162160531194
"261","PTPRB",6,3,3,0,1,0.170927601135675
"262","CABP2",1,0,1,2,0,0.170920989681821
