,logFC,AveExpr,t,P.Value,adj.P.Val,B
LEP,2.50821336093648,10.6339492156231,14.4507434392662,3.8456043634763e-36,5.63419495292913e-32,71.1279998854087
HTRA4,1.55407492673564,10.6189036434463,13.819971021267,7.99371913721095e-34,5.85579895396388e-30,65.9048237052426
FSTL3,1.53931247387767,11.5337788346069,13.1796170951576,1.7132251376463e-31,8.36682049721863e-28,60.6504739175426
ENG,0.94517308833503,11.4086124484014,13.1322838278666,2.54149884917579e-31,9.30887490981861e-28,60.2643743111722
ERO1L,0.650572228700009,9.51035946039918,12.4998928969735,4.76010054482874e-29,1.39480466164572e-25,55.1412526305527
TPBG,0.72090123009402,9.36765078572064,12.1424078918269,8.867157308288e-28,2.16521202872879e-24,52.2777562435822
SPAG4,0.753150752802314,7.87210162118851,12.0139091542863,2.52059945380391e-27,5.27561465681158e-24,51.254899019596
FLT1,0.951765795173904,11.4100913917012,11.9556526461823,4.04279702502388e-27,7.40387740170312e-24,50.7923548771335
HEXB,0.617802093051019,12.7737169399802,11.8333833482556,1.08698627209392e-26,1.76949287471644e-23,49.8240296633334
SASH1,0.869565277602183,10.3383712911756,11.7882582119324,1.56448938813913e-26,2.29213340256263e-23,49.4675181768563
SLC6A8,0.64426917889373,9.13626531036988,11.629621604306,5.60620074734513e-26,6.99762512568321e-23,48.218008846776
INHA,0.958926760327378,9.28547070104688,11.6268685799063,5.73145188097731e-26,6.99762512568321e-23,48.196377728868
KRT19,0.687519019288157,12.1186377260547,11.3760060632701,4.25799646123917e-25,4.79876201181654e-22,46.2332003151222
PROCR,0.705722840609541,10.7578805697851,11.3254606356459,6.36554146498295e-25,6.66153914310466e-22,45.8395899845517
TREM1,1.2599471075652,8.92054621961072,11.2102487386659,1.58772807851713e-24,1.55078693855697e-21,44.9449295327185
FLNB,0.619127592422979,10.2416624488038,11.0139605245285,7.47140876767922e-24,6.84147561595427e-21,43.4290148048702
PAPPA2,0.781400968550891,12.0860120861859,10.9951271366661,8.66345810749481e-24,7.46637204311215e-21,43.2841336478938
HK2,1.0860225967239,8.26360050405644,10.9726438992354,1.03366797163341e-23,8.10282738485069e-21,43.1113075839192
EFNB1,0.503967072406427,9.13037561071544,10.970549166382,1.050806909509e-23,8.10282738485069e-21,43.0952129874707
NDRG1,0.702537224423876,11.3722098880204,10.943372093227,1.30056312867296e-23,9.52727519909376e-21,42.8865160461115
PVRL4,0.854279212894017,10.1230668669767,10.8683313057593,2.34074519698591e-23,1.63305989909717e-20,42.3113787960834
SFXN3,0.591683139777858,9.2517204918308,10.7783487043878,4.7254233662864e-23,3.14691716997555e-20,41.6239095387068
WDR60,0.481589214683479,8.44956841705561,10.4883983171271,4.46874081305511e-22,2.8465878979161e-19,39.4254956541377
TMEM136,-0.530504214795824,7.97431885104178,-10.3534096885348,1.2603255499306e-21,7.59560152183075e-19,38.4111146557124
